date_key,full_date,year,quarter,quarter_name,month,month_name,week_of_year,day_of_week,is_weekend,fiscal_year,fiscal_quarter
20220101,2022-01-01,2022,1,Q1,1,January,52,Saturday,1,FY2022,FY2022-Q1
20220102,2022-01-02,2022,1,Q1,1,January,52,Sunday,1,FY2022,FY2022-Q1
20220103,2022-01-03,2022,1,Q1,1,January,1,Monday,0,FY2022,FY2022-Q1
20220104,2022-01-04,2022,1,Q1,1,January,1,Tuesday,0,FY2022,FY2022-Q1
20220105,2022-01-05,2022,1,Q1,1,January,1,Wednesday,0,FY2022,FY2022-Q1
20220106,2022-01-06,2022,1,Q1,1,January,1,Thursday,0,FY2022,FY2022-Q1
20220107,2022-01-07,2022,1,Q1,1,January,1,Friday,0,FY2022,FY2022-Q1
20220108,2022-01-08,2022,1,Q1,1,January,1,Saturday,1,FY2022,FY2022-Q1
20220109,2022-01-09,2022,1,Q1,1,January,1,Sunday,1,FY2022,FY2022-Q1
20220110,2022-01-10,2022,1,Q1,1,January,2,Monday,0,FY2022,FY2022-Q1
20220111,2022-01-11,2022,1,Q1,1,January,2,Tuesday,0,FY2022,FY2022-Q1
20220112,2022-01-12,2022,1,Q1,1,January,2,Wednesday,0,FY2022,FY2022-Q1
20220113,2022-01-13,2022,1,Q1,1,January,2,Thursday,0,FY2022,FY2022-Q1
20220114,2022-01-14,2022,1,Q1,1,January,2,Friday,0,FY2022,FY2022-Q1
20220115,2022-01-15,2022,1,Q1,1,January,2,Saturday,1,FY2022,FY2022-Q1
20220116,2022-01-16,2022,1,Q1,1,January,2,Sunday,1,FY2022,FY2022-Q1
20220117,2022-01-17,2022,1,Q1,1,January,3,Monday,0,FY2022,FY2022-Q1
20220118,2022-01-18,2022,1,Q1,1,January,3,Tuesday,0,FY2022,FY2022-Q1
20220119,2022-01-19,2022,1,Q1,1,January,3,Wednesday,0,FY2022,FY2022-Q1
20220120,2022-01-20,2022,1,Q1,1,January,3,Thursday,0,FY2022,FY2022-Q1
20220121,2022-01-21,2022,1,Q1,1,January,3,Friday,0,FY2022,FY2022-Q1
20220122,2022-01-22,2022,1,Q1,1,January,3,Saturday,1,FY2022,FY2022-Q1
20220123,2022-01-23,2022,1,Q1,1,January,3,Sunday,1,FY2022,FY2022-Q1
20220124,2022-01-24,2022,1,Q1,1,January,4,Monday,0,FY2022,FY2022-Q1
20220125,2022-01-25,2022,1,Q1,1,January,4,Tuesday,0,FY2022,FY2022-Q1
20220126,2022-01-26,2022,1,Q1,1,January,4,Wednesday,0,FY2022,FY2022-Q1
20220127,2022-01-27,2022,1,Q1,1,January,4,Thursday,0,FY2022,FY2022-Q1
20220128,2022-01-28,2022,1,Q1,1,January,4,Friday,0,FY2022,FY2022-Q1
20220129,2022-01-29,2022,1,Q1,1,January,4,Saturday,1,FY2022,FY2022-Q1
20220130,2022-01-30,2022,1,Q1,1,January,4,Sunday,1,FY2022,FY2022-Q1
20220131,2022-01-31,2022,1,Q1,1,January,5,Monday,0,FY2022,FY2022-Q1
20220201,2022-02-01,2022,1,Q1,2,February,5,Tuesday,0,FY2022,FY2022-Q1
20220202,2022-02-02,2022,1,Q1,2,February,5,Wednesday,0,FY2022,FY2022-Q1
20220203,2022-02-03,2022,1,Q1,2,February,5,Thursday,0,FY2022,FY2022-Q1
20220204,2022-02-04,2022,1,Q1,2,February,5,Friday,0,FY2022,FY2022-Q1
20220205,2022-02-05,2022,1,Q1,2,February,5,Saturday,1,FY2022,FY2022-Q1
20220206,2022-02-06,2022,1,Q1,2,February,5,Sunday,1,FY2022,FY2022-Q1
20220207,2022-02-07,2022,1,Q1,2,February,6,Monday,0,FY2022,FY2022-Q1
20220208,2022-02-08,2022,1,Q1,2,February,6,Tuesday,0,FY2022,FY2022-Q1
20220209,2022-02-09,2022,1,Q1,2,February,6,Wednesday,0,FY2022,FY2022-Q1
20220210,2022-02-10,2022,1,Q1,2,February,6,Thursday,0,FY2022,FY2022-Q1
20220211,2022-02-11,2022,1,Q1,2,February,6,Friday,0,FY2022,FY2022-Q1
20220212,2022-02-12,2022,1,Q1,2,February,6,Saturday,1,FY2022,FY2022-Q1
20220213,2022-02-13,2022,1,Q1,2,February,6,Sunday,1,FY2022,FY2022-Q1
20220214,2022-02-14,2022,1,Q1,2,February,7,Monday,0,FY2022,FY2022-Q1
20220215,2022-02-15,2022,1,Q1,2,February,7,Tuesday,0,FY2022,FY2022-Q1
20220216,2022-02-16,2022,1,Q1,2,February,7,Wednesday,0,FY2022,FY2022-Q1
20220217,2022-02-17,2022,1,Q1,2,February,7,Thursday,0,FY2022,FY2022-Q1
20220218,2022-02-18,2022,1,Q1,2,February,7,Friday,0,FY2022,FY2022-Q1
20220219,2022-02-19,2022,1,Q1,2,February,7,Saturday,1,FY2022,FY2022-Q1
20220220,2022-02-20,2022,1,Q1,2,February,7,Sunday,1,FY2022,FY2022-Q1
20220221,2022-02-21,2022,1,Q1,2,February,8,Monday,0,FY2022,FY2022-Q1
20220222,2022-02-22,2022,1,Q1,2,February,8,Tuesday,0,FY2022,FY2022-Q1
20220223,2022-02-23,2022,1,Q1,2,February,8,Wednesday,0,FY2022,FY2022-Q1
20220224,2022-02-24,2022,1,Q1,2,February,8,Thursday,0,FY2022,FY2022-Q1
20220225,2022-02-25,2022,1,Q1,2,February,8,Friday,0,FY2022,FY2022-Q1
20220226,2022-02-26,2022,1,Q1,2,February,8,Saturday,1,FY2022,FY2022-Q1
20220227,2022-02-27,2022,1,Q1,2,February,8,Sunday,1,FY2022,FY2022-Q1
20220228,2022-02-28,2022,1,Q1,2,February,9,Monday,0,FY2022,FY2022-Q1
20220301,2022-03-01,2022,1,Q1,3,March,9,Tuesday,0,FY2022,FY2022-Q1
20220302,2022-03-02,2022,1,Q1,3,March,9,Wednesday,0,FY2022,FY2022-Q1
20220303,2022-03-03,2022,1,Q1,3,March,9,Thursday,0,FY2022,FY2022-Q1
20220304,2022-03-04,2022,1,Q1,3,March,9,Friday,0,FY2022,FY2022-Q1
20220305,2022-03-05,2022,1,Q1,3,March,9,Saturday,1,FY2022,FY2022-Q1
20220306,2022-03-06,2022,1,Q1,3,March,9,Sunday,1,FY2022,FY2022-Q1
20220307,2022-03-07,2022,1,Q1,3,March,10,Monday,0,FY2022,FY2022-Q1
